id,词条,tag,英文翻译,comment,俄文翻译,词条来源,辞典名称,翻译最大长度,备注1
36afc93e-a9f0-4f5c-b874-f2195c5ed7d7,A&lpha channel:,QColorDialog,A&lpha channel:,,Канал A&lpha:,qtbase,,,
0870249a-13a9-4756-86be-c3ad09909c70,Game,QShortcut,Game,,Игра,qtbase,,,
a4e26b89-e6d2-4ed4-a3c7-febb63a90bc4,Another socket is already listening on the same port,QNativeSocketEngine,Another socket is already listening on the same port,,Другой сокет уже прослушивает порт.,qt,,,
41b90a82-b748-467c-ad50-86926c8729cc,Promoting %1 to %2 may cause loss of precision.,QtXmlPatterns,Promoting %1 to %2 may cause loss of precision.,,Повышение %1 до уровня %2 может привести к потере точности.,qt,,,
eeb18ef1-40df-4a6c-a17b-ef074527cef4,Select signal,SelectSignalDialog,Select signal,,Выбрать сигнал,designer,,,
4450f273-7fb4-47d4-b826-4b8193ae08a8,&Step up,QAbstractSpinBox,&Step up,,&Увеличить,qt,,,
4c9ec47c-330f-4abd-841d-fa12c5234326,Copies:,QPrintSettingsOutput,Copies:,,Копии:,qtbase,,,
3b5c9c1c-f150-4f53-b2e3-6aaf8b3e149c,Error parsing authentication request from proxy,QHttpSocketEngine,Error parsing authentication request from proxy,,Ошибка парсинга запроса на аутентификацию от прокси,qt,,,
20ed0e3b-4a91-4f20-b25c-e130294157bc,T&oolTip:,qdesigner_internal::NewActionDialog,T&oolTip:,,T&oolTip:,designer,,,
40091a1f-57eb-4c03-917a-9690627cff8c,"IDs must contain only letters, numbers, and underscores",QDeclarativeCompiler,"IDs must contain only letters, numbers, and underscores",,"ID должны содержать только буквы, цифры и подчеркивания",qt,,,
cdb4ae46-994e-4076-9755-32a4caa488df,Monitor Brightness Up,QShortcut,Monitor Brightness Up,,Увеличить яркость монитора,qt,,,
91799cbc-f770-4daa-8c75-5d439367d7c1,match limit exceeded,QRegularExpression,match limit exceeded,,Превышен лимит совпадений,qtbase,,,
8821d01d-96e9-4d00-96c9-2288930baa0a,Launch (5),QShortcut,Launch (5),,Запустить (5),qt,,,
000dfc0c-650b-4cb7-a230-7f1b34529d0e,RLO Start of right-to-left override,QUnicodeControlCharacterMenu,RLO Start of right-to-left override,,RLO Начало переключения справа налево,qt,,,
64f138fe-bbff-4833-8c24-aa2cfe205640,Trying to connect while connection is in progress,QAbstractSocket,Trying to connect while connection is in progress,,Попытка подключения во время уже идущего соединения,qtbase,,,
b0a0f731-f8bf-49d3-adec-bfd1c8076d96,Cannot open collection file: %1,QHelpCollectionHandler,Cannot open collection file: %1,,Невозможно открыть файл коллекции: %1,qt_help,,,
9a68a750-8cae-4dac-adac-e420c5378a8d,The signature of the certificate is invalid,QSslSocket,The signature of the certificate is invalid,,Подпись сертификата недействительна,qt,,,
fa7063f1-09a7-4e7f-8fbb-6630cd4b92f9,Invalid Style Sheet,qdesigner_internal::StyleSheetEditorDialog,Invalid Style Sheet,,Недействительный таблица стилей,designer,,,
4634fa43-606e-473f-8d2b-a1886c2283d2,%1: Datagram too large,QLocalSocket,%1: Datagram too large,,%1: Датаграмма слишком большая,qtbase,,,
e6b7497d-4cf1-47bf-bc23-e6eafa7836a7,front is a write-once property,QDeclarativeFlipable,front is a write-once property,,"front — свойство, которое можно изменить один раз",qt,,,
d93cec29-cd97-4b77-abbf-1281054ecdc9,Architect E,QPageSize,Architect E,,Architect E,qtbase,,,
ce033861-6cba-44e1-8972-3bdc9f203391,The file '%1' does not appear to be a valid pixmap file: %2,IconSelector,The file '%1' does not appear to be a valid pixmap file: %2,,"Файл '%1', по-видимому, не является действительным файлом pixmap: %2",designer,,,
46e41df4-9003-4e23-bbb5-d0916604611c,Two namespace declaration attributes have the same name: %1.,QtXmlPatterns,Two namespace declaration attributes have the same name: %1.,,У двух атрибутов объявления пространства имён одинаковое имя: %1.,qt,,,
fea01d19-2054-498c-a65c-40f5c3cd0fb1,It is not possible to redeclare prefix %1.,QtXmlPatterns,It is not possible to redeclare prefix %1.,,Невозможно повторно объявить префикс %1.,qt,,,
f2cabf95-7e1d-4a52-8319-b54432e7b9fa,Sort by &Date,Q3FileDialog,Sort by &Date,,Сортировка по &Дата,qt,,,
ea2f8299-95b6-49d4-a0a7-36843c27ddfa,"%1 is not a valid skin directory:
%2",qdesigner_internal::PreviewConfigurationWidget,"%1 is not a valid skin directory:
%2",,%1 — недействительный каталог скинов:,designer,,,翻译验证失败: 占位符丢失: %2
88217cee-398b-4a06-8bf2-eb04af7fd293,Go to slot,SelectSignalDialog,Go to slot,,%2,designer,,,
3bbfff97-05b3-428e-9b4c-35867767b89d,Launch (8),QShortcut,Launch (8),,Перейти в слот,qt,,,
8f1541bf-9c9c-4837-b8dd-02276ed6167a,Radial Type,QtGradientEditor,Radial Type,,Запустить (8),designer,,,
97719aed-4c9d-4a2b-8f87-59ff05feec79,Keep,QtResourceEditorDialog,Keep,,Радиальный тип,designer,,,
5cb0ef44-7fd3-4b49-ac01-4bc4cacb9041,Launch (3),QShortcut,Launch (3),,Сохранить,qtbase,,,
717d509a-7fbf-4831-8847-4c4562c26a92,UTF-8 error: illegal byte (0xfe or 0xff),QRegularExpression,UTF-8 error: illegal byte (0xfe or 0xff),,Запустить (3),qtbase,,,
5505df4d-6c12-430d-891a-fd2f9976b3e8,Extra,QFontDatabase,Extra,,Ошибка UTF-8: недопустимый байт (0xfe или 0xff),qtbase,,,
25b81fd4-aa44-4c3c-8a7c-718458e97d04,Touchpad Toggle,QShortcut,Touchpad Toggle,,Дополнительно,qtbase,,,
6b9933c8-0098-4139-b560-5f3a1e007727,Cannot register virtual folder '%1'.,QHelpCollectionHandler,Cannot register virtual folder '%1'.,,Включить/выключить тачпад,qt_help,,,翻译验证失败: 占位符丢失: %1
b6cb32ed-a7e1-46bf-9129-16b7f2bf70f9,Unable to fetch last,QODBCResult,Unable to fetch last,,Невозможно зарегистрировать виртуальную папку '%1'.,qt,,,
4d89f2c4-f4de-4c44-8e9e-0677f8fa644a,Save File,BookmarkManagerWidget,Save File,,Невозможно получить последний элемент,assistant,,,
8c921814-92c5-433f-86af-2e87ec5c5d7c,Self-referencing entity detected.,QXmlStream,Self-referencing entity detected.,,Сохранить файл,qtbase,,,
2dd146ec-5d07-4f8f-a87b-3b7cc502a3b2,locally connected,QPrintDialog,locally connected,,38 Обнаружена самореферентная сущность.,qt,,,
e6fd89d5-6167-487c-9e1b-9ad78f5eb72a,Network communication error,Phonon::MMF,Network communication error,,Подключено локально,qt,,,
502d4949-a826-4a86-b399-5f01fa177d63,Y,QtPointFPropertyManager,Y,,русский),designer,,,后处理: 已剥离 “源文 → 译文” 箭头左侧，仅保留俄文译文
82d216b7-748b-4ba6-b096-6ce5c852152f,Could not instantiate cursor delegate,QDeclarativeTextInput,Could not instantiate cursor delegate,,Ваше программное обеспечение для интернационализации пользовательского интерфейса помогает в массовом переводе словарных статей на русский язык. Исходный текст может быть на китайском или английском языке.,qt,,,
c903a9d1-6525-4821-bd85-a581141b811e,Title:,AddLinkDialog,Title:,,Выполняется только перевод на русский язык; объяснения запрещены.,designer,,,
6cfcd965-2bed-4151-94da-d368259d76b8,"Vertical Spacer '%1', %2 x %3",Spacer,"Vertical Spacer '%1', %2 x %3",,` для размещения исходного и переведенного текста на одной строке.,designer,,,后处理: 已剥离 “源文 → 译文” 箭头左侧，仅保留俄文译文; 翻译验证失败: 占位符丢失: %1; 翻译验证失败: 占位符丢失: %2; 翻译验证失败: 占位符丢失: %3
